id,text,clean_text,tokens,tokens_without_stopwords,stemmed_tokens
AH-y26wXgTIAH0WAN27sYo,Soalnya 10jt juga kan harga subsidi 😂 walau emang nyebelin banget 10jt masih dikasih iklan,soalnya jt juga kan harga subsidi walau emang nyebelin banget jt masih dikasih iklan,"['soalnya', 'jt', 'juga', 'kan', 'harga', 'subsidi', 'walau', 'emang', 'nyebelin', 'banget', 'jt', 'masih', 'dikasih', 'iklan']","['harga', 'subsidi', 'nyebelin', 'dikasih', 'iklan']","['harga', 'subsidi', 'nyebelin', 'kasih', 'iklan']"
AH-y26wXgTIAH0X6OpY645,@@Toniksp70 beda harga,toniksp beda harga,"['toniksp', 'beda', 'harga']","['toniksp', 'beda', 'harga']","['toniksp', 'beda', 'harga']"
AH-y26wXgTIAH0XGkL5hxB,"@@hitie6792  target pasar bukan kek lu yang sayang uang hasil nabung, tapi buat yang suka bgt sama game dan g buka apk bawaan yang ada iklan, yang beli tuh kebanyakan orang kaya bukan kismin",hitie target pasar bukan kek lu yang sayang uang hasil nabung tapi buat yang suka bgt sama game dan g buka apk bawaan yang ada iklan yang beli tuh kebanyakan orang kaya bukan kismin,"['hitie', 'target', 'pasar', 'bukan', 'kek', 'lu', 'yang', 'sayang', 'uang', 'hasil', 'nabung', 'tapi', 'buat', 'yang', 'suka', 'bgt', 'sama', 'game', 'dan', 'g', 'buka', 'apk', 'bawaan', 'yang', 'ada', 'iklan', 'yang', 'beli', 'tuh', 'kebanyakan', 'orang', 'kaya', 'bukan', 'kismin']","['hitie', 'target', 'pasar', 'sayang', 'uang', 'hasil', 'nabung', 'suka', 'bgt', 'game', 'buka', 'apk', 'bawaan', 'iklan', 'beli', 'tuh', 'kebanyakan', 'orang', 'kaya', 'kismin']","['hitie', 'target', 'pasar', 'sayang', 'uang', 'hasil', 'nabung', 'suka', 'bgt', 'game', 'buka', 'apk', 'bawa', 'iklan', 'beli', 'tuh', 'banyak', 'orang', 'kaya', 'kismin']"
AH-y26wXgTIAH0XH7F1ng-,10 jt mending ip,jt mending ip,"['jt', 'mending', 'ip']",['mending'],['mending']
AH-y26wXgTIAH0XVgYP78A,Gak aneh,gak aneh,"['gak', 'aneh']",['aneh'],['aneh']
AH-y26wXgTIAH0XgJAQIvF,yg beli ini udah bukan mendang mending lagi soalnya iklannya bisa dinonaktifkan​@@FaizPamungkas-u5u4q,yg beli ini udah bukan mendang mending lagi soalnya iklannya bisa dinonaktifkanfaizpamungkasuuq,"['yg', 'beli', 'ini', 'udah', 'bukan', 'mendang', 'mending', 'lagi', 'soalnya', 'iklannya', 'bisa', 'dinonaktifkanfaizpamungkasuuq']","['beli', 'mendang', 'mending', 'iklannya', 'dinonaktifkanfaizpamungkasuuq']","['beli', 'dang', 'mending', 'iklan', 'dinonaktifkanfaizpamungkasuuq']"
AH-y26wXgTIAH0Y5aXfs57,Ga heran sih dengan Poco mah 😂,ga heran sih dengan poco mah,"['ga', 'heran', 'sih', 'dengan', 'poco', 'mah']","['heran', 'poco', 'mah']","['heran', 'poco', 'mah']"
AH-y26wXgTIAH0YA_vGsBI,"harga 10 juta lebih konon hp performa tapi kamera masih gempa bumi walaupun punya resolusi tinggi, jelas itu gimik dan menipu uang konsumen kenapa banyak yang ketipu sama gimik nya iqoo, 10 juta 2025 kamera gempa bumi berasa hp 1 jutaan woi penyepong iqoo bukalah mata mu jgn mudah tersugesti😂😂😂",harga juta lebih konon hp performa tapi kamera masih gempa bumi walaupun punya resolusi tinggi jelas itu gimik dan menipu uang konsumen kenapa banyak yang ketipu sama gimik nya iqoo juta kamera gempa bumi berasa hp jutaan woi penyepong iqoo bukalah mata mu jgn mudah tersugesti,"['harga', 'juta', 'lebih', 'konon', 'hp', 'performa', 'tapi', 'kamera', 'masih', 'gempa', 'bumi', 'walaupun', 'punya', 'resolusi', 'tinggi', 'jelas', 'itu', 'gimik', 'dan', 'menipu', 'uang', 'konsumen', 'kenapa', 'banyak', 'yang', 'ketipu', 'sama', 'gimik', 'nya', 'iqoo', 'juta', 'kamera', 'gempa', 'bumi', 'berasa', 'hp', 'jutaan', 'woi', 'penyepong', 'iqoo', 'bukalah', 'mata', 'mu', 'jgn', 'mudah', 'tersugesti']","['harga', 'juta', 'konon', 'performa', 'kamera', 'gempa', 'bumi', 'resolusi', 'gimik', 'menipu', 'uang', 'konsumen', 'ketipu', 'gimik', 'iqoo', 'juta', 'kamera', 'gempa', 'bumi', 'berasa', 'jutaan', 'woi', 'penyepong', 'iqoo', 'bukalah', 'mata', 'jgn', 'mudah', 'tersugesti']","['harga', 'juta', 'konon', 'performa', 'kamera', 'gempa', 'bumi', 'resolusi', 'gimik', 'tipu', 'uang', 'konsumen', 'tipu', 'gimik', 'iqoo', 'juta', 'kamera', 'gempa', 'bumi', 'asa', 'juta', 'woi', 'penyepong', 'iqoo', 'buka', 'mata', 'jgn', 'mudah', 'sugesti']"
AH-y26wXgTIAH0YHsn65iG,padahal bisa di hilangkan itu iklam bang😅,padahal bisa di hilangkan itu iklam bang,"['padahal', 'bisa', 'di', 'hilangkan', 'itu', 'iklam', 'bang']","['hilangkan', 'iklam']","['hilang', 'iklam']"
AH-y26wXgTIAH0YOQ6EMyL,belum update firmware ini,belum update firmware ini,"['belum', 'update', 'firmware', 'ini']","['update', 'firmware']","['update', 'firmware']"
